"impacto_presupuestario_anio","impacto_presupuestario_mes","jurisdiccion_id","jurisdiccion_desc","servicio_id"," servicio_desc","programa_id","programa_desc","ejercicio_presupuestario","subprograma_desc","proyecto_id","proyecto_desc","actividad_id","actividad_desc","obra_id","obra_desc","fuente_financiamiento_id_desc",,"clasificador_economico_8_digitos_id","clasificador_economico_8_digitos_desc","inciso_id","inciso_desc","principal_id","principal_desc","parcial_id","parcial_desc","subparcial_id","subparcial_desc","credito_presupuestado","credito_vigente","credito_devengado"
"2019","6","35","Ministerio de Relaciones Exteriores y Culto","307","Ministerio de Relaciones Exteriores y Culto","16","Acciones Diplomáticas de Política Exterior","0","Acciones Diplomáticas de Política Exterior","0","Acciones Diplomáticas de Política Exterior","44","Acciones vinculadas al Achicamiento de la Brecha entre Género (PPG)","0","Acciones Diplomáticas de Política Exterior","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","3","Mantenimiento, Reparación y Limpieza","9","Otros N.E.P.","0","Otros N.E.P.","0","0","100564,75"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","1","Personal Permanente","1","Retribución del Cargo","0","Retribución del Cargo","677149","677149","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","1","Personal Permanente","4","Sueldo Anual Complementario","0","Sueldo Anual Complementario","56429","56429","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","1","Retribuciones por contratos","0","Retribuciones por contratos","677149","677149","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","2","Adicionales al contrato","0","Adicionales al contrato","87366","87366","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","3","Sueldo anual complementario","0","Sueldo anual complementario","63709","63709","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21212000","Contribuciones Patronales","1","Gastos en Personal","1","Personal Permanente","6","Contribuciones Patronales","0","Contribuciones Patronales","187062","187062","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21212000","Contribuciones Patronales","1","Gastos en Personal","8","Personal contratado","5","Contribuciones patronales","0","Contribuciones patronales","211196","211196","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","2","Alquileres y Derechos","9","Otros N.E.P.","0","Otros N.E.P.","253200","253200","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","4","Servicios Técnicos y Profesionales","2","Médicos y Sanitarios","0","Médicos y Sanitarios","21100","21100","0"
